O,D,trips_modelled
38790,1503590,0.05987296800167458
38790,1503638,0.06006874016784629
38790,1503723,0.04286144497844377
38790,1503836,0.27790803444014767
38790,1503964,0.18718267244773001
38790,1503986,0.054295757858518104
38791,1503009,0.26126660240739974
38791,1503074,0.09404778071306093
38791,1503251,0.46068376050100834
38791,1503263,0.10981313391986573
38791,1503275,0.028149133266781916
38791,1503348,0.12319019950664951
38791,1503350,0.33923976780766274
38791,1503404,0.013071147327817442
38791,1503423,0.02690849642118422
38791,1503432,0.2663200402374225
38791,1503436,0.388123642228273
38791,1503482,0.17089761139962997
38791,1503510,0.8769830032944992
38791,1503575,0.4906913831682277
38791,1503604,1.0426832610222003
38791,1503611,0.095705761488843
38791,1503674,0.536438521944381
38791,1503676,0.8425517953638394
38791,1503820,0.35733845332160463
38791,1503857,0.5549731424143438
38791,1503910,0.06856587050194178
38792,1503001,0.14523654100397587
38792,1503009,0.011979111215804623
38792,1503044,0.4797935639932254
38792,1503096,0.2537214324523632
38792,1503138,0.04285910433022861
38792,1503206,0.02728728634312103
38792,1503233,0.014038651283820328
38792,1503275,0.02138076188505063
38792,1503325,1.6750763801304738
38792,1503404,0.013066336014028115
38792,1503436,0.47363401453468595
38792,1503471,0.08566294651785879
38792,1503607,0.1549959158850789
38792,1503636,0.08556338329952244
38792,1503642,0.03948217081202603
38792,1503645,0.12024361446912431
38792,1503674,0.20364765530549322
38792,1503676,0.05281940437789095
38792,1503857,0.1279894589630057
38792,1503910,0.049260052483417326
38793,1503009,0.011758547876678963
38793,1503044,0.012803490761955567
38793,1503096,0.01881013936141833
38793,1503138,0.005855209069087299
38793,1503233,0.0016648415617346306
38793,1503251,0.019730718385438287
38793,1503263,0.006859014613184039
38793,1503275,0.003847086682416165
38793,1503286,0.010896621773789753
38793,1503325,0.04413847091105367
38793,1503348,0.010776509341562542
38793,1503350,0.01661662389145459
38793,1503404,0.002937694711076459
38793,1503423,0.0021559343946789527
38793,1503432,0.016259815459952004
38793,1503436,0.08716905268787248
38793,1503471,0.0063355882026693774
38793,1503482,0.007319172821527845
38793,1503510,0.02547056677256875
38793,1503575,0.017345111125407823
38793,1503604,0.030509989819464352
38793,1503607,0.015933900771103106
38793,1503611,0.006626073006570471
38793,1503636,0.008395925316965503
38793,1503645,0.003774254305166388
38793,1503674,0.07986540142540861
38793,1503676,0.04813659545429397
38793,1503820,0.013841393270595897
38793,1503857,0.07829313563983183
38793,1503910,0.009112236329685523
38794,1503001,0.5818476774119142
38794,1503044,3.1273504382794313
38794,1503096,0.719741158119752
38794,1503206,0.09443916964914774
38794,1503233,0.03536886241191209
38794,1503275,0.04612750798325869
38794,1503325,7.434754364219878
38794,1503404,0.020151427975058405
38794,1503436,0.7310021086632358
38794,1503471,0.2306674985381722
38794,1503607,0.4090684629465391
38794,1503636,0.21905194091979824
38794,1503645,0.44749653701161357
38794,1503674,0.3406041951899077
38794,1503836,0.3785695808794731
38794,1503857,0.20276396910416317
38794,1503910,0.1067048689563489
38795,1503044,0.06635189068650127
38795,1503325,0.11901844069275971
38795,1503590,0.1263792345308511
38795,1503638,0.13412335081167887
38795,1503723,0.10194457538653355
38795,1503836,0.6528619514592013
38795,1503964,0.39473200935565883
38795,1503986,0.09434457035102325
38796,1503044,0.08800321462792253
38796,1503590,0.2316993746520744
38796,1503638,0.23487961674869612
38796,1503723,0.16959277933288974
38796,1503836,1.053317462796117
38796,1503964,0.728964014886363
38796,1503986,0.2160879183777818
38797,1503009,0.08383623916809292
38797,1503044,0.0899990530763297
38797,1503096,0.12942767809139022
38797,1503233,0.011431374569954451
38797,1503251,0.13932693335482954
38797,1503263,0.04778205757547883
38797,1503275,0.028128214231849167
38797,1503286,0.07496010999374371
38797,1503325,0.3093556156957003
38797,1503348,0.07444829784956254
38797,1503350,0.1167787914840895
38797,1503404,0.020540021582742516
38797,1503423,0.014924170039595655
38797,1503432,0.11370138718930725
38797,1503436,0.6088438936001147
38797,1503471,0.045604531147116975
38797,1503482,0.05168381895489492
38797,1503510,0.18316594395535876
38797,1503575,0.12348730555138558
38797,1503604,0.22027070131877693
38797,1503607,0.10943961764434022
38797,1503611,0.046023843476351266
38797,1503636,0.06080066972412038
38797,1503645,0.026273616090282014
38797,1503674,0.585412968050311
38797,1503676,0.3405076518280725
38797,1503820,0.09879216338670968
38797,1503857,0.5397695023859104
38797,1503910,0.06668307795225623
38798,1503001,0.39088820997022133
38798,1503009,0.1305526661951413
38798,1503044,0.8699553110178556
38798,1503096,0.9163230373746606
38798,1503138,0.20834042571831424
38798,1503206,0.08578707977404171
38798,1503233,0.06433789337574036
38798,1503275,0.11788092054903315
38798,1503286,0.2903331724498555
38798,1503325,3.021743428523988
38798,1503350,0.2244582551199653
38798,1503404,0.1439006066509608
38798,1503432,0.2346465739105968
38798,1503436,5.119190493949787
38798,1503471,0.3011789963740671
38798,1503524,0.16764026816223948
38798,1503575,0.19910098161957213
38798,1503604,0.3211471807175328
38798,1503607,0.6594065542670746
38798,1503636,0.34655370097652693
38798,1503645,0.2512610611046238
38798,1503674,1.7584892248818542
38798,1503676,0.5669466072768187
38798,1503820,0.15348574644181348
38798,1503857,1.3046306210870136
38798,1503910,0.27315360813702494
